Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Navigations/Navigation - Pay Groups,Chrome 67.0.3396.99,,2018-07-18 08:42:39,2018-07-18 08:42:49,10.344s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:39,2018-07-18 08:42:43,4.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:42:43,2018-07-18 08:42:43,0.077s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:43,2018-07-18 08:42:46,3.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:42:46,2018-07-18 08:42:46,0.059s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:46,2018-07-18 08:42:48,2.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:48,2018-07-18 08:42:49,0.864s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:42:49,2018-07-18 08:42:49,0.141s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Departments,Chrome 67.0.3396.99,,2018-07-18 08:42:49,2018-07-18 08:43:01,11.715s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:49,2018-07-18 08:42:52,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:42:52,2018-07-18 08:42:52,0.077s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:52,2018-07-18 08:42:55,3.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:42:55,2018-07-18 08:42:55,0.063s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:55,2018-07-18 08:42:58,3.002s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-18 08:42:58,2018-07-18 08:42:59,0.427s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:42:59,2018-07-18 08:43:00,1.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:00,2018-07-18 08:43:01,0.845s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:43:01,2018-07-18 08:43:01,0.099s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Cost Code,Chrome 67.0.3396.99,,2018-07-18 08:43:01,2018-07-18 08:43:09,8.375s,PASSED
